timestamp,calls
2026-01-01T00:00:00+00:00,100.2
2026-01-02T00:00:00+00:00,108.4
2026-01-03T00:00:00+00:00,93.2144
2026-01-04T00:00:00+00:00,104.143
2026-01-05T00:00:00+00:00,97.3857
2026-01-06T00:00:00+00:00,82.3423
2026-01-07T00:00:00+00:00,84.6126
2026-01-08T00:00:00+00:00,92.4964
2026-01-09T00:00:00+00:00,100.4937
2026-01-10T00:00:00+00:00,84.8041
2026-01-11T00:00:00+00:00,96.8277
2026-01-12T00:00:00+00:00,89.1642
2026-01-13T00:00:00+00:00,75.1134
2026-01-14T00:00:00+00:00,77.1752
2026-01-15T00:00:00+00:00,84.5495
2026-01-16T00:00:00+00:00,93.6361
2026-01-17T00:00:00+00:00,77.0349
2026-01-18T00:00:00+00:00,90.0457
2026-01-19T00:00:00+00:00,82.1683
2026-01-20T00:00:00+00:00,67.6027
2026-01-21T00:00:00+00:00,70.7487
2026-01-22T00:00:00+00:00,77.2061
2026-01-23T00:00:00+00:00,87.2748
2026-01-24T00:00:00+00:00,70.4547
2026-01-25T00:00:00+00:00,82.9457
2026-01-26T00:00:00+00:00,76.1475
2026-01-27T00:00:00+00:00,60.6601
2026-01-28T00:00:00+00:00,64.7834
2026-01-29T00:00:00+00:00,71.0172
2026-01-30T00:00:00+00:00,80.5614
2026-01-31T00:00:00+00:00,64.8159
2026-02-01T00:00:00+00:00,76.3805
2026-02-02T00:00:00+00:00,70.5551
2026-02-03T00:00:00+00:00,54.8397
2026-02-04T00:00:00+00:00,58.434
2026-02-05T00:00:00+00:00,65.738
2026-02-06T00:00:00+00:00,74.3515
2026-02-07T00:00:00+00:00,59.5745
2026-02-08T00:00:00+00:00,70.9068
2026-02-09T00:00:00+00:00,64.5483
2026-02-10T00:00:00+00:00,49.899
2026-02-11T00:00:00+00:00,52.5586
2026-02-12T00:00:00+00:00,60.8271
2026-02-13T00:00:00+00:00,69.2043
2026-02-14T00:00:00+00:00,53.8903
2026-02-15T00:00:00+00:00,66.2848
2026-02-16T00:00:00+00:00,58.9878
2026-02-17T00:00:00+00:00,45.2991
2026-02-18T00:00:00+00:00,47.7187
2026-02-19T00:00:00+00:00,55.4465
2026-02-20T00:00:00+00:00,64.8824
2026-02-21T00:00:00+00:00,48.6262
2026-02-22T00:00:00+00:00,61.9779
2026-02-23T00:00:00+00:00,54.4373
2026-02-24T00:00:00+00:00,40.2045
2026-02-25T00:00:00+00:00,43.6792
2026-02-26T00:00:00+00:00,50.4615
2026-02-27T00:00:00+00:00,60.8511
2026-02-28T00:00:00+00:00,44.3481
2026-03-01T00:00:00+00:00,57.1523
2026-03-02T00:00:00+00:00,50.6637
2026-03-03T00:00:00+00:00,35.4821
2026-03-04T00:00:00+00:00,39.9076
2026-03-05T00:00:00+00:00,46.4399
2026-03-06T00:00:00+00:00,56.279
2026-03-07T00:00:00+00:00,40.8248
2026-03-08T00:00:00+00:00,52.6773
2026-03-09T00:00:00+00:00,47.1364
2026-03-10T00:00:00+00:00,31.702
2026-03-11T00:00:00+00:00,35.574
2026-03-12T00:00:00+00:00,43.1523
2026-03-13T00:00:00+00:00,52.0368
2026-03-14T00:00:00+00:00,37.5276
2026-03-15T00:00:00+00:00,49.1245
2026-03-16T00:00:00+00:00,43.0274
2026-03-17T00:00:00+00:00,28.6362
2026-03-18T00:00:00+00:00,31.551
2026-03-19T00:00:00+00:00,40.0716
2026-03-20T00:00:00+00:00,48.6979
2026-03-21T00:00:00+00:00,33.63
2026-03-22T00:00:00+00:00,46.2676
2026-03-23T00:00:00+00:00,39.2108
2026-03-24T00:00:00+00:00,25.7595
2026-03-25T00:00:00+00:00,28.4136
2026-03-26T00:00:00+00:00,36.373
2026-03-27T00:00:00+00:00,46.0377
2026-03-28T00:00:00+00:00,30.0077
2026-03-29T00:00:00+00:00,43.5828
2026-03-30T00:00:00+00:00,36.263
2026-03-31T00:00:00+00:00,22.2482
